[1] TRUE
[21:43:19] Found summary chunk files: 60
[21:43:24] EDIT MC Cowdrey | ID: 10846 | test | batting | SR: NA -> 120.56
[21:43:24] EDIT MC Cowdrey | ID: 10846 | test | batting | 4s: NA -> 753
[21:43:24] EDIT MC Cowdrey | ID: 10846 | test | batting | 6s: NA -> 13
[21:43:24] EDIT CG Greenidge | ID: 51901 | test | batting | BF: NA -> 12538
[21:43:24] EDIT CG Greenidge | ID: 51901 | test | batting | SR: NA -> 60.28
[21:43:24] EDIT CG Greenidge | ID: 51901 | test | batting | 4s: NA -> 884
[21:43:24] EDIT CG Greenidge | ID: 51901 | test | batting | 6s: NA -> 67
[21:43:24] EDIT Mohammad Yousuf | ID: 43650 | test | batting | BF: NA -> 14372
[21:43:24] EDIT Mohammad Yousuf | ID: 43650 | test | batting | SR: NA -> 52.39
[21:43:24] EDIT Mohammad Yousuf | ID: 43650 | test | batting | 4s: NA -> 957
[21:43:24] EDIT Mohammad Yousuf | ID: 43650 | test | batting | 6s: NA -> 51
[21:43:24] EDIT MA Taylor | ID: 7924 | test | batting | BF: NA -> 18140
[21:43:24] EDIT MA Taylor | ID: 7924 | test | batting | SR: NA -> 41.48
[21:43:24] EDIT MA Taylor | ID: 7924 | test | batting | 4s: NA -> 727
[21:43:24] EDIT MA Taylor | ID: 7924 | test | batting | 6s: NA -> 9
[21:43:24] EDIT CH Lloyd | ID: 52345 | test | batting | BF: NA -> 7489
[21:43:24] EDIT CH Lloyd | ID: 52345 | test | batting | SR: NA -> 100.35
[21:43:24] EDIT CH Lloyd | ID: 52345 | test | batting | 4s: NA -> 758
[21:43:24] EDIT CH Lloyd | ID: 52345 | test | batting | 6s: NA -> 70
[21:43:24] EDIT DL Haynes | ID: 52047 | test | batting | BF: NA -> 15488
[21:43:24] EDIT DL Haynes | ID: 52047 | test | batting | SR: NA -> 48.34
[21:43:24] EDIT DL Haynes | ID: 52047 | test | batting | 4s: NA -> 830
[21:43:24] EDIT DL Haynes | ID: 52047 | test | batting | 6s: NA -> 24
[21:43:24] EDIT DC Boon | ID: 4169 | test | batting | BF: NA -> 18116
[21:43:24] EDIT DC Boon | ID: 4169 | test | batting | SR: NA -> 40.97
[21:43:24] EDIT DC Boon | ID: 4169 | test | batting | 4s: NA -> 822
[21:43:24] EDIT DC Boon | ID: 4169 | test | batting | 6s: NA -> 2
[21:43:24] EDIT G Kirsten | ID: 45813 | test | batting | BF: NA -> 16783
[21:43:24] EDIT G Kirsten | ID: 45813 | test | batting | SR: NA -> 43.43
[21:43:24] EDIT G Kirsten | ID: 45813 | test | batting | 4s: NA -> 922
[21:43:24] EDIT G Kirsten | ID: 45813 | test | batting | 6s: NA -> 12
[21:43:24] EDIT BA Stokes | ID: 311158 | test | batting | BF: NA -> 12427
[21:43:24] EDIT BA Stokes | ID: 311158 | test | batting | SR: NA -> 58.53
[21:43:24] EDIT BA Stokes | ID: 311158 | test | batting | 4s: NA -> 833
[21:43:24] EDIT BA Stokes | ID: 311158 | test | batting | 6s: NA -> 138
[21:43:24] EDIT WR Hammond | ID: 14022 | test | batting | BF: NA -> 7491
[21:43:24] EDIT WR Hammond | ID: 14022 | test | batting | SR: NA -> 96.77
[21:43:24] EDIT WR Hammond | ID: 14022 | test | batting | 4s: NA -> 512
[21:43:24] EDIT WR Hammond | ID: 14022 | test | batting | 6s: NA -> 27
[21:43:24] EDIT FDM Karunaratne | ID: 227772 | test | batting | BF: NA -> 14024
[21:43:24] EDIT FDM Karunaratne | ID: 227772 | test | batting | SR: NA -> 51.5
[21:43:24] EDIT FDM Karunaratne | ID: 227772 | test | batting | 4s: NA -> 764
[21:43:24] EDIT FDM Karunaratne | ID: 227772 | test | batting | 6s: NA -> 12
[21:43:24] EDIT CH Gayle | ID: 51880 | test | batting | BF: NA -> 11970
[21:43:24] EDIT CH Gayle | ID: 51880 | test | batting | SR: NA -> 60.27
[21:43:24] EDIT CH Gayle | ID: 51880 | test | batting | 4s: NA -> 1046
[21:43:24] EDIT CH Gayle | ID: 51880 | test | batting | 6s: NA -> 98
[21:43:24] EDIT SC Ganguly | ID: 28779 | test | batting | BF: NA -> 14070
[21:43:24] EDIT SC Ganguly | ID: 28779 | test | batting | SR: NA -> 51.26
[21:43:24] EDIT SC Ganguly | ID: 28779 | test | batting | 4s: NA -> 900
[21:43:24] EDIT SC Ganguly | ID: 28779 | test | batting | 6s: NA -> 57
[21:43:24] EDIT CA Pujara | ID: 32540 | test | batting | BF: NA -> 16217
[21:43:24] EDIT CA Pujara | ID: 32540 | test | batting | SR: NA -> 44.37
[21:43:24] EDIT CA Pujara | ID: 32540 | test | batting | 4s: NA -> 863
[21:43:24] EDIT CA Pujara | ID: 32540 | test | batting | 6s: NA -> 16
[21:43:24] EDIT SP Fleming | ID: 37000 | test | batting | BF: NA -> 15652
[21:43:24] EDIT SP Fleming | ID: 37000 | test | batting | SR: NA -> 45.82
[21:43:24] EDIT SP Fleming | ID: 37000 | test | batting | 4s: NA -> 917
[21:43:24] EDIT SP Fleming | ID: 37000 | test | batting | 6s: NA -> 26
[21:43:24] EDIT Azhar Ali | ID: 39037 | test | batting | BF: NA -> 17033
[21:43:24] EDIT Azhar Ali | ID: 39037 | test | batting | SR: NA -> 41.93
[21:43:24] EDIT Azhar Ali | ID: 39037 | test | batting | 4s: NA -> 694
[21:43:24] EDIT Azhar Ali | ID: 39037 | test | batting | 6s: NA -> 22
[21:43:24] EDIT GS Chappell | ID: 4558 | test | batting | BF: NA -> 13079
[21:43:24] EDIT GS Chappell | ID: 4558 | test | batting | SR: NA -> 54.36
[21:43:24] EDIT GS Chappell | ID: 4558 | test | batting | 4s: NA -> 755
[21:43:24] EDIT GS Chappell | ID: 4558 | test | batting | 6s: NA -> 16
[21:43:24] EDIT AJ Strauss | ID: 20387 | test | batting | BF: NA -> 14385
[21:43:24] EDIT AJ Strauss | ID: 20387 | test | batting | SR: NA -> 48.92
[21:43:24] EDIT AJ Strauss | ID: 20387 | test | batting | 4s: NA -> 867
[21:43:24] EDIT AJ Strauss | ID: 20387 | test | batting | 6s: NA -> 10
[21:43:24] EDIT DG Bradman | ID: 4188 | test | batting | BF: NA -> 9800
[21:43:24] EDIT DG Bradman | ID: 4188 | test | batting | SR: NA -> 71.39
[21:43:24] EDIT DG Bradman | ID: 4188 | test | batting | 4s: NA -> 681
[21:43:24] EDIT DG Bradman | ID: 4188 | test | batting | 6s: NA -> 6
[21:43:24] EDIT ST Jayasuriya | ID: 49209 | test | batting | BF: NA -> 10698
[21:43:24] EDIT ST Jayasuriya | ID: 49209 | test | batting | SR: NA -> 65.18
[21:43:24] EDIT ST Jayasuriya | ID: 49209 | test | batting | 4s: NA -> 910
[21:43:24] EDIT ST Jayasuriya | ID: 49209 | test | batting | 6s: NA -> 59
[21:43:24] EDIT L Hutton | ID: 14334 | test | batting | BF: NA -> 3107
[21:43:24] EDIT L Hutton | ID: 14334 | test | batting | SR: NA -> 224.36
[21:43:24] EDIT L Hutton | ID: 14334 | test | batting | 4s: NA -> 475
[21:43:24] EDIT L Hutton | ID: 14334 | test | batting | 6s: NA -> 7
[21:43:24] EDIT DB Vengsarkar | ID: 35654 | test | batting | BF: NA -> 11450
[21:43:24] EDIT DB Vengsarkar | ID: 35654 | test | batting | SR: NA -> 59.98
[21:43:24] EDIT DB Vengsarkar | ID: 35654 | test | batting | 4s: NA -> 560
[21:43:24] EDIT DB Vengsarkar | ID: 35654 | test | batting | 6s: NA -> 17
[21:43:24] EDIT KF Barrington | ID: 9014 | test | batting | BF: NA -> 4992
[21:43:24] EDIT KF Barrington | ID: 9014 | test | batting | SR: NA -> 136.34
[21:43:24] EDIT KF Barrington | ID: 9014 | test | batting | 4s: NA -> 618
[21:43:24] EDIT KF Barrington | ID: 9014 | test | batting | 6s: NA -> 27
[21:43:24] EDIT Mushfiqur Rahim | ID: 56029 | test | batting | BF: NA -> 14012
[21:43:24] EDIT Mushfiqur Rahim | ID: 56029 | test | batting | SR: NA -> 48.57
[21:43:24] EDIT Mushfiqur Rahim | ID: 56029 | test | batting | 4s: NA -> 779
[21:43:24] EDIT Mushfiqur Rahim | ID: 56029 | test | batting | 6s: NA -> 39
[21:43:24] EDIT GP Thorpe | ID: 21537 | test | batting | BF: NA -> 14693
[21:43:24] EDIT GP Thorpe | ID: 21537 | test | batting | SR: NA -> 45.9
[21:43:24] EDIT GP Thorpe | ID: 21537 | test | batting | 4s: NA -> 778
[21:43:24] EDIT GP Thorpe | ID: 21537 | test | batting | 6s: NA -> 9
[21:43:24] EDIT LD Chandimal | ID: 300628 | test | batting | BF: NA -> 12830
[21:43:24] EDIT LD Chandimal | ID: 300628 | test | batting | SR: NA -> 50.34
[21:43:24] EDIT LD Chandimal | ID: 300628 | test | batting | 4s: NA -> 681
[21:43:24] EDIT LD Chandimal | ID: 300628 | test | batting | 6s: NA -> 44
[21:43:24] EDIT BB McCullum | ID: 37737 | test | batting | BF: NA -> 9989
[21:43:24] EDIT BB McCullum | ID: 37737 | test | batting | SR: NA -> 64.6
[21:43:24] EDIT BB McCullum | ID: 37737 | test | batting | 4s: NA -> 776
[21:43:24] EDIT BB McCullum | ID: 37737 | test | batting | 6s: NA -> 107
[21:43:24] EDIT TWM Latham | ID: 388802 | test | batting | BF: NA -> 13390
[21:43:24] EDIT TWM Latham | ID: 388802 | test | batting | SR: NA -> 48.17
