cricinfo_id,unique_player_id,final_player_name,source_country_text,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,blank_col_14,format,stat_type,source,source_url
56031,56031,Mehrab Hossain jnr,BAN,Mehrab Hossain jnr (BAN),2006-2009,18,16,0,276,54,17.25,642,42.99,0,1,1,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
8608,8608,JM Anderson,ENG,JM Anderson (ENG),2002-2015,194,79,43,273,28,7.58,561,48.66,0,0,10,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
4864,4864,DT Christian,AUS,DT Christian (AUS),2012-2021,20,18,5,273,39,21,307,88.92,0,0,0,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
806241,806241,R Ngarava,ZIM,R Ngarava (ZIM),2017-2025,55,35,14,272,48,12.95,324,83.95,0,0,6,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
510530,510530,J Overton,ENG,J Overton (ENG),2024-2026,13,10,0,272,68,27.2,244,111.47,0,1,1,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
277911,277911,GH Worker,NZ,GH Worker (NZ),2015-2018,10,10,2,272,58,34,379,71.76,0,3,0,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
228622,228622,JW Hastings,AUS,JW Hastings (AUS),2010-2017,29,21,11,271,51,27.1,273,99.26,0,1,1,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
288211,288211,Umar Amin,PAK,Umar Amin (PAK),2010-2018,16,16,1,271,59,18.06,392,69.13,0,1,0,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
44024,44024,AM Bacher,SA,AM Bacher (SA),1997-2005,13,13,0,270,56,20.76,469,57.56,0,1,0,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
594322,594322,C Bosch,SA,C Bosch (SA),2024-2025,12,10,4,270,67,45,248,108.87,0,1,1,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
506612,506612,MJ Henry,NZ,MJ Henry (NZ),2014-2025,95,38,12,270,48*,10.38,290,93.1,0,0,7,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
55944,55944,Jahurul Islam,BAN,Jahurul Islam (BAN),2010-2013,14,13,1,270,53,22.5,371,72.77,0,1,2,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
26325,26325,KBJ Azad,IND,KBJ Azad (IND),1980-1986,25,21,2,269,39*,14.15,400,67.25,0,0,3,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
28754,28754,AD Gaekwad,IND,AD Gaekwad (IND),1975-1987,15,14,1,269,78*,20.69,509,52.84,0,1,2,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
13463,13463,AW Greig,ENG,AW Greig (ENG),1972-1977,22,19,3,269,48,16.81,378,71.16,0,0,1,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
46538,46538,M Morkel,Afr/SA,M Morkel (Afr/SA),2007-2018,117,47,18,268,32*,9.24,354,75.7,0,0,9,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
646191,646191,G Toka,PNG,G Toka (PNG),2019-2023,22,21,0,268,29,12.76,483,55.48,0,0,4,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
38970,38970,Aaqib Javed,PAK,Aaqib Javed (PAK),1988-1998,163,51,26,267,45*,10.68,456,58.55,0,0,7,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
440516,440516,TA Blundell,NZ,TA Blundell (NZ),2020-2023,12,12,3,266,68,29.55,307,86.64,0,2,0,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
56154,56154,Shamsur Rahman,BAN,Shamsur Rahman (BAN),2013-2014,10,10,0,266,96,26.6,350,76,0,2,2,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
420402,420402,Afsar Zazai,AFG,Afsar Zazai (AFG),2014-2017,17,16,1,264,60,17.6,488,54.09,0,2,3,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
596417,596417,BA Carse,ENG,BA Carse (ENG),2021-2025,30,21,6,264,36,17.6,329,80.24,0,0,1,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
11870,11870,MH Denness,ENG,MH Denness (ENG),1973-1975,12,11,2,264,66,29.33,417,63.3,0,1,1,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
23860,23860,S Jyoti,CAN,S Jyoti (CAN),2006-2010,14,13,1,264,117,22,442,59.72,1,0,3,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
538506,538506,Taskin Ahmed,BAN,Taskin Ahmed (BAN),2014-2026,91,50,14,264,21,7.33,450,58.66,0,0,10,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
1274487,1274487,ZB Lion-Cachet,NED,ZB Lion-Cachet (NED),2025-2026,14,13,1,263,78,21.91,390,67.43,0,1,0,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
447458,447458,SP Patil,UAE,SP Patil (UAE),2014-2015,13,12,2,263,99*,26.3,404,65.09,0,2,1,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
308410,308410,HN Ya France,NAM,HN Ya France (NAM),2019-2023,25,21,11,263,52*,26.3,300,87.66,0,1,2,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
638713,638713,HJW Gardiner,SCOT,HJW Gardiner (SCOT),2013-2015,11,11,0,262,96,23.81,396,66.16,0,2,1,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
42066,42066,Naved Latif,PAK,Naved Latif (PAK),2001-2003,11,11,0,262,113,23.81,417,62.82,1,0,1,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
948437,948437,S Fouche,NAM,S Fouche (NAM),2023-2025,12,11,0,261,83,23.72,388,67.26,0,2,2,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
401540,401540,Aizaz Khan,HKG,Aizaz Khan (HKG),2014-2018,19,15,2,260,44,20,374,69.51,0,0,1,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
1057456,1057456,K Birkenstock,NAM,K Birkenstock (NAM),2019-2023,20,18,1,258,61,15.17,447,57.71,0,1,3,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
38735,38735,KJ Wadsworth,NZ,KJ Wadsworth (NZ),1973-1976,13,10,1,258,104,28.66,334,77.24,1,0,1,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
50802,50802,ML Udawatte,SL,ML Udawatte (SL),2008-2008,9,9,0,257,73,28.55,383,67.1,0,2,1,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
28090,28090,SS Dighe,IND,SS Dighe (IND),2000-2001,23,17,6,256,94*,23.27,421,60.8,0,1,1,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
595790,595790,N Davin,NAM,N Davin (NAM),2023-2025,13,13,0,255,90,19.61,284,89.78,0,1,1,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
5124,5124,R Edwards,AUS,R Edwards (AUS),1972-1975,9,8,1,255,80*,36.42,349,73.06,0,3,1,NA,odi,batting,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=runs;page=6;size=200;template=results;type=batting
