cricinfo_id,unique_player_id,final_player_name,source_country_text,Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,blank_col_12,format,stat_type,source,source_url
35320,35320,SR Tendulkar,IND,SR Tendulkar (IND),1989-2012,463,456,140,140,0,0,140,4 (4ct 0st),0.307,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
43652,43652,Younis Khan,PAK,Younis Khan (PAK),2000-2015,265,260,135,135,0,5,130,4 (4ct 0st),0.519,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
37000,37000,SP Fleming,ICC/NZ,SP Fleming (ICC/NZ),1994-2007,280,276,133,133,0,0,133,4 (4ct 0st),0.481,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
45789,45789,JH Kallis,Afr/ICC/SA,JH Kallis (Afr/ICC/SA),1996-2014,328,324,131,131,0,0,131,3 (3ct 0st),0.404,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
49636,49636,M Muralidaran,Asia/ICC/SL,M Muralidaran (Asia/ICC/SL),1993-2011,350,347,130,130,0,0,130,3 (3ct 0st),0.374,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
4174,4174,AR Border,AUS,AR Border (AUS),1979-1994,273,270,127,127,0,0,127,3 (3ct 0st),0.47,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
42639,42639,Shahid Afridi,Asia/ICC/PAK,Shahid Afridi (Asia/ICC/PAK),1996-2015,398,392,127,127,0,0,127,2 (2ct 0st),0.323,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
55954,55954,Khaled Mashud,BAN,Khaled Mashud (BAN),1995-2006,126,126,126,91,35,91,0,5 (3ct 2st),1,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
48472,48472,TM Dilshan,SL,TM Dilshan (SL),1999-2016,330,325,124,123,1,5,118,3 (3ct 0st),0.381,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
51880,51880,CH Gayle,ICC/WI,CH Gayle (ICC/WI),1999-2019,301,294,124,124,0,0,124,3 (3ct 0st),0.421,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
6502,6502,RW Marsh,AUS,RW Marsh (AUS),1971-1984,92,92,124,120,4,120,0,5 (5ct 0st),1.347,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
49209,49209,ST Jayasuriya,Asia/SL,ST Jayasuriya (Asia/SL),1989-2011,445,441,123,123,0,0,123,3 (3ct 0st),0.278,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
52066,52066,CL Hooper,WI,CL Hooper (WI),1987-2003,227,225,120,120,0,0,120,4 (4ct 0st),0.533,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
52337,52337,BC Lara,ICC/WI,BC Lara (ICC/WI),1990-2007,299,296,120,120,0,0,120,3 (3ct 0st),0.405,NA,odi,fielding,espncricinfo_statsguru,https://stats.espncricinfo.com/ci/engine/stats/index.html?class=2;filter=advanced;orderby=dismissals;page=1;size=200;template=results;type=fielding
