cricinfo_id,unique_player_id,final_player_name,source_country_text,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
1318855,1318855,Zaker Taqawi,SWE,Zaker Taqawi (SWE),2022-2024,16,12,4,62,17*,7.75,98,63.26,0,0,1,3,0
364120,364120,T Brown,BHM,T Brown (BHM),2023-2026,7,7,1,61,22*,10.16,107,57,0,0,2,2,1
11728,11728,AN Cook,ENG,AN Cook (ENG),2007-2009,4,4,0,61,26,15.25,54,112.96,0,0,0,10,0
1271974,1271974,Ghulam Ahmadi,GER,Ghulam Ahmadi (GER),2021-2026,52,19,16,61,15*,20.33,61,100,0,0,0,5,0
1471900,1471900,S Gulecha,SGP,S Gulecha (SGP),2025-2026,7,7,0,61,23,8.71,55,110.9,0,0,1,6,3
1345179,1345179,CA Keita,Mali,CA Keita (Mali),2022-2026,18,15,0,61,35,4.06,110,55.45,0,0,6,6,3
37770,37770,PD McGlashan,NZ,PD McGlashan (NZ),2006-2010,11,9,1,61,26,7.62,64,95.31,0,0,0,6,2
1156625,1156625,Mien Mehmood,POR,Mien Mehmood (POR),2019-2021,7,7,0,61,16,8.71,69,88.4,0,0,1,4,2
1429147,1429147,Muhammad Babar,ESP,Muhammad Babar (ESP),2024-2024,2,2,0,61,46,30.5,35,174.28,0,0,0,3,7
1511612,1511612,Naveena Shetty,BHR,Naveena Shetty (BHR),2025-2025,12,10,3,61,20,8.71,43,141.86,0,0,3,6,3
1181998,1181998,A Sathya,MEX,A Sathya (MEX),2019-2019,3,3,0,61,30,20.33,61,100,0,0,0,3,2
1058968,1058968,K Senamontree,THA,K Senamontree (THA),2019-2026,30,18,4,61,13*,4.35,104,58.65,0,0,4,1,1
1203182,1203182,PH Shamdasani,Peru,PH Shamdasani (Peru),2019-2019,4,4,1,61,37,20.33,72,84.72,0,0,0,3,1
1447229,1447229,OE Taylor,COK,OE Taylor (COK),2024-2026,17,10,2,61,22*,7.62,104,58.65,0,0,2,2,0
1155533,1155533,EM Turay,SLE,EM Turay (SLE),2026-2026,5,5,2,61,35*,20.33,69,88.4,0,0,0,7,0
1198938,1198938,C Zavoiu,ROM,C Zavoiu (ROM),2019-2023,21,10,3,61,27,8.71,90,67.77,0,0,1,4,0
1332783,1332783,Arafat Minhas,PAK,Arafat Minhas (PAK),2023-2024,4,3,1,60,25,30,56,107.14,0,0,0,5,2
764321,764321,DE Budge,SCOT,DE Budge (SCOT),2018-2021,8,6,2,60,24,15,62,96.77,0,0,2,2,3
525045,525045,M Cohen,ISR,M Cohen (ISR),2022-2022,3,3,1,60,28,30,60,100,0,0,0,4,2
11974,11974,JWM Dalrymple,ENG,JWM Dalrymple (ENG),2006-2007,3,3,0,60,32,20,57,105.26,0,0,0,6,0
1400099,1400099,D Dewald,BEL,D Dewald (BEL),2024-2024,10,6,0,60,25,10,85,70.58,0,0,1,4,0
1345184,1345184,SG Diaby,Mali,SG Diaby (Mali),2022-2026,15,12,4,60,41*,7.5,64,93.75,0,0,5,3,3
1535796,1535796,Eranga De Silva,ROM,Eranga De Silva (ROM),2026-2026,8,5,2,60,20*,20,45,133.33,0,0,0,8,1
1160970,1160970,Haider Ali,UAE,Haider Ali (UAE),2025-2026,28,13,3,60,15*,6,58,103.44,0,0,2,4,1
1490899,1490899,Ibrar Ahmad,HUN,Ibrar Ahmad (HUN),2025-2026,8,7,2,60,16*,12,41,146.34,0,0,1,4,4
1203897,1203897,B Ivanov,BUL,B Ivanov (BUL),2019-2024,11,7,4,60,21*,20,99,60.6,0,0,1,4,1
1280666,1280666,E Kubwimana,RWN,E Kubwimana (RWN),2022-2025,39,24,10,60,14*,4.28,109,55.04,0,0,5,3,0
1256219,1256219,MR Kumar,UAE,MR Kumar (UAE),2025-2026,6,6,1,60,21,12,66,90.9,0,0,0,4,2
520026,520026,M Kyriacou,CYP,M Kyriacou (CYP),2021-2021,6,5,2,60,44*,20,79,75.94,0,0,0,1,2
522767,522767,Mohammad Adnan,KSA,Mohammad Adnan (KSA),2019-2019,5,3,3,60,38*,-,31,193.54,0,0,0,4,5
373696,373696,Mominul Haque,BAN,Mominul Haque (BAN),2012-2014,6,4,1,60,26*,20,50,120,0,0,0,5,2
1089938,1089938,M Mooketsi,BOT,M Mooketsi (BOT),2019-2026,59,23,7,60,10,3.75,120,50,0,0,4,2,0
1392860,1392860,Muhammad Ajmal,MLT,Muhammad Ajmal (MLT),2025-2026,14,8,1,60,17*,8.57,68,88.23,0,0,3,5,2
17185,17185,P Mustard,ENG,P Mustard (ENG),2008-2008,2,2,0,60,40,30,37,162.16,0,0,0,5,4
1541836,1541836,Nikhil,UZB,Nikhil (UZB),2026-2026,4,4,1,60,35*,20,57,105.26,0,0,0,3,5
1295876,1295876,Patrick Nou,PNG,Patrick Nou (PNG),2025-2026,8,8,2,60,19,10,58,103.44,0,0,1,6,2
1230632,1230632,Sherul Mehta,BEL,Sherul Mehta (BEL),2020-2021,3,3,0,60,40,20,89,67.41,0,0,0,6,0
1036525,1036525,ACF Stokes,GUE,ACF Stokes (GUE),2019-2025,21,12,2,60,18*,6,69,86.95,0,0,5,6,1
318615,318615,Zeeshan Siddiqui,OMA,Zeeshan Siddiqui (OMA),2015-2015,5,5,1,60,33*,15,63,95.23,0,0,0,7,0
1286502,1286502,P Abanda,CAM,P Abanda (CAM),2021-2022,13,12,0,59,16,4.91,106,55.66,0,0,2,7,1
270135,270135,Ariful Haque,BAN,Ariful Haque (BAN),2018-2018,9,8,4,59,18*,14.75,61,96.72,0,0,1,4,0
1347278,1347278,VF Bomnyuy,CAM,VF Bomnyuy (CAM),2024-2026,11,9,4,59,16*,11.8,82,71.95,0,0,1,6,0
37095,37095,DR Flynn,NZ,DR Flynn (NZ),2008-2012,5,5,0,59,23,11.8,51,115.68,0,0,0,1,4
1493206,1493206,LA Goncalves,BRA,LA Goncalves (BRA),2026-2026,9,7,2,59,24*,11.8,57,103.5,0,0,2,6,1
1153779,1153779,Hayatullah Niazi,NOR,Hayatullah Niazi (NOR),2019-2019,4,4,1,59,27,19.66,47,125.53,0,0,0,3,3
