cricinfo_id,unique_player_id,final_player_name,source_country_text,Player,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4,5,10
46538,46538,M Morkel,Afr/SA,M Morkel (Afr/SA),2007-2018,117,114,5760,NA,NA,4761,188,5/21,NA,25.32,4.95,30.6,7,2,NA
48835,48835,CRD Fernando,Asia/SL,CRD Fernando (Asia/SL),2001-2012,147,141,6507,NA,NA,5648,187,6/27,NA,30.2,5.2,34.7,3,1,NA
42699,42699,Saeed Ajmal,PAK,Saeed Ajmal (PAK),2008-2015,113,112,6000,NA,NA,4182,184,5/24,NA,22.72,4.18,32.6,6,2,NA
38970,38970,Aaqib Javed,PAK,Aaqib Javed (PAK),1988-1998,163,159,8012,NA,NA,5721,182,7/37,NA,31.43,4.28,44,2,4,NA
40560,40560,Imran Khan,PAK,Imran Khan (PAK),1974-1992,175,153,7461,NA,NA,4844,182,6/14,NA,26.61,3.89,40.9,3,1,NA
43524,43524,Umar Gul,PAK,Umar Gul (PAK),2003-2016,130,128,6064,NA,NA,5253,179,6/42,NA,29.34,5.19,33.8,4,2,NA
10617,10617,SCJ Broad,ENG,SCJ Broad (ENG),2006-2016,121,121,6109,NA,NA,5364,178,5/23,NA,30.13,5.26,34.3,9,1,NA
25913,25913,Mohammad Nabi,AFG,Mohammad Nabi (AFG),2009-2026,178,167,8054,NA,NA,5806,177,5/17,NA,32.8,4.32,45.5,4,1,NA
233514,233514,NLTC Perera,SL,NLTC Perera (SL),2009-2021,166,157,5900,NA,NA,5740,175,6/44,NA,32.8,5.83,33.7,5,4,NA
4185,4185,NW Bracken,AUS,NW Bracken (AUS),2001-2009,116,116,5759,NA,NA,4240,174,5/47,NA,24.36,4.41,33,5,2,NA
40618,40618,Imran Tahir,SA,Imran Tahir (SA),2011-2019,107,104,5541,NA,NA,4297,173,7/45,NA,24.83,4.65,32,7,3,NA
38062,38062,JDP Oram,NZ,JDP Oram (NZ),2001-2012,160,154,6911,NA,NA,5047,173,5/26,NA,29.17,4.38,39.9,3,2,NA
32685,32685,IK Pathan,IND,IK Pathan (IND),2004-2012,120,118,5855,NA,NA,5142,173,5/27,NA,29.72,5.26,33.8,5,2,NA
