cricinfo_id,unique_player_id,final_player_name,source_country_text
53228,53228,AB Williams,WI
44936,44936,AB de Villiers,SA
44936,44936,AB de Villiers,Afr/SA
505120,505120,AC Agar,AUS
4089,4089,AC Bannerman,AUS
26872,26872,AC Bedade,IND
44102,44102,AC Botha,IRE
51488,51488,AC Cummins,WI
51488,51488,AC Cummins,CAN/WI
4890,4890,AC Dale,AUS
44682,44682,AC Dawson,SA
679551,679551,AC Douglas,BER
399259,399259,AC Evans,SCOT
1509192,1509192,AC Frame,CYP
5390,5390,AC Gilchrist,AUS
5390,5390,AC Gilchrist,AUS/ICC
45458,45458,AC Hudson,SA
1198923,1198923,AC Kose,TKY
16871,16871,AC MacLaren,ENG
38117,38117,AC Parore,NZ
20222,20222,AC Smith,ENG
47569,47569,AC Thomas,SA
1199669,1199669,AC Valthapa,UAE
8119,8119,AC Voges,AUS
55840,55840,AC Waller,ZIM
46132,46132,ACB Langton,SA
1036525,1036525,ACF Stokes,GUE
55560,55560,ACI Lock,ZIM
52918,52918,ACL Richards,WI
18533,18533,ACS Pigott,ENG
1156618,1156618,AD Algar,ESP
9246,9246,AD Brown,ENG
649019,649019,AD Dore,BER
1450925,1450925,AD Fofana,Mali
28754,28754,AD Gaekwad,IND
550189,550189,AD Galiem,SA
249866,249866,AD Hales,ENG
16932,16932,AD Mascarenhas,ENG
49764,49764,AD Mathews,SL
17121,17121,AD Mullally,ENG
500360,500360,AD Nath,UAE
46589,46589,AD Nourse,SA
6996,6996,AD Ogilvie,AUS
18585,18585,AD Pougher,ENG
210279,210279,AD Poynter,IRE
276298,276298,AD Russell,WI
16942,16942,ADG Matthews,ENG
38253,38253,ADG Roberts,NZ
276539,276539,ADJ Pitcher,BER
525138,525138,ADL Stokoe,IOM
55301,55301,ADR Campbell,ZIM
51862,51862,ADS Fletcher,WI
36830,36830,AE Dick,NZ
11898,11898,AE Dipper,ENG
12800,12800,AE Fagg,ENG
51899,51899,AE Greenidge,WI
45394,45394,AE Hall,SA
1176871,1176871,AE Isesele,NGA
15908,15908,AE Knight,ENG
17114,17114,AE Moss,ENG
46673,46673,AE Ochse,SA
307692,307692,AE Paraam,SGP
19365,19365,AE Relf,ENG
20381,20381,AE Stoddart,ENG
21593,21593,AE Trott,AUS/ENG
47739,47739,AEE Vogler,SA
13372,13372,AER Gilligan,ENG
5591,5591,AEV Hartkopf,AUS
1403943,1403943,AEV Puentes,Chile
24996,24996,AF Buurman,NED
13368,13368,AF Giles,ENG
333035,333035,AF Ifill,CAY
6154,6154,AF Kippax,AUS
37608,37608,AF Lissette,NZ
450860,450860,AF Milne,NZ
52801,52801,AF Rae,WI
52995,52995,AF Sattaur,CAN
16293,16293,AFA Lilley,ENG
51905,51905,AFG Griffith,WI
1048889,1048889,AG Achar,SGP
8555,8555,AG Archer,ENG
51213,51213,AG Barrett,WI
4570,4570,AG Chipperfield,AUS
55346,55346,AG Cremer,ZIM
25091,25091,AG Davies,SCOT
5209,5209,AG Fairfax,AUS
51874,51874,AG Ganteaume,WI
55502,55502,AG Huckle,ZIM
5732,5732,AG Hurst,AUS
30132,30132,AG Kripal Singh,IND
31004,31004,AG Milkha Singh,IND
46788,46788,AG Prince,SA
46788,46788,AG Prince,Afr/SA
46797,46797,AG Puttick,SA
1403940,1403940,AG Roe,Chile
20350,20350,AG Steel,ENG
1275721,1275721,AG Weligamage,HUN
22380,22380,AG Wharf,ENG
50851,50851,AGD Wickremasinghe,SL
16388,16388,AGR Loudon,ENG
485379,485379,AGS Gous,USA
8960,8960,AH Bakewell,ENG
51898,51898,AH Gray,WI
6014,6014,AH Jarvis,AUS
37491,37491,AH Jones,NZ
41030,41030,AH Kardar,IND/PAK
46210,46210,AH McKinnon,SA
55680,55680,AH Omarshah,ZIM
44468,44468,AHC Cooper,SA
13373,13373,AHH Gilligan,ENG
53110,53110,AHP Scott,WI
52285,52285,AI Kallicharran,WI
47532,47532,AI Taylor,SA
4964,4964,AIC Dodemaide,AUS
629405,629405,AJ Ayannaike,NGA
44065,44065,AJ Bell,SA
4146,4146,AJ Bichel,AUS
24839,24839,AJ Burger,NAM
233648,233648,AJ Doolan,AUS
12523,12523,AJ Evans,ENG
5334,5334,AJ Finch,AUS
12883,12883,AJ Fothergill,ENG
45396,45396,AJ Hall,SA
14244,14244,AJ Hollioake,ENG
530812,530812,AJ Hosein,WI
55522,55522,AJ Ireland,ZIM
1155556,1155556,AJ Jabiri,TAN
16178,16178,AJ Lamb,ENG
55568,55568,AJ Mackay,ZIM
38005,38005,AJ McKay,NZ
6892,6892,AJ Michael,Samoa
1323416,1323416,AJ Mosca,ITA
1438289,1438289,AJ Parmar,NOR
38120,38120,AJ Penn,NZ
46760,46760,AJ Pithey,SA
1535377,1535377,AJ Prajapati,Mali
55700,55700,AJ Pycroft,ZIM
38264,38264,AJ Redmond,NZ
7334,7334,AJ Richardson,AUS
470909,470909,AJ Staal,NED
20372,20372,AJ Stewart,ENG
20387,20387,AJ Strauss,ENG
55802,55802,AJ Traicos,SA/ZIM
55802,55802,AJ Traicos,ZIM
21607,21607,AJ Tudor,ENG
500268,500268,AJ Turner,AUS
459508,459508,AJ Tye,AUS
1535800,1535800,AJ Varghese,SGP
22329,22329,AJ Watkins,ENG
22349,22349,AJ Webbe,ENG
8244,8244,AJ Woodcock,AUS
1447228,1447228,AJA Samuels,COK
14196,14196,AJL Hill,ENG
16978,16978,AJW McIntyre,ENG
5703,5703,AJY Hopkins,AUS
4902,4902,AK Davidson,AUS
345286,345286,AK Gokoel,SUR
384355,384355,AK Kitchen,NZ
49366,49366,AK Kuruppuarachchi,SL
332398,332398,AK Mandal,NEP
600498,600498,AK Markram,SA
1156467,1156467,AK Mohan,FIN
1159658,1159658,AK Muslar,Blz
32226,32226,AK Patel,IND
300629,300629,AK Perera,SL
1459928,1459928,AK Roger,CIV
33182,33182,AK Roy,IND
1058510,1058510,AK Sah,NEP
33895,33895,AK Sengupta,IND
33943,33943,AK Sharma,IND
8466,8466,AK Zesers,AUS
26268,26268,AL Apte,IND
