unique_player_id,format,HasBowlingDetail,DetailBalls,DetailMaidens,DetailRunsConceded,DetailOvers
42628,odi,TRUE,8770,66,6275,1461.4
42628,test,TRUE,14070,541,6206,2345.0
42630,odi,TRUE,2374,49,1463,395.4
42630,test,TRUE,12663,486,5798,2110.3
42632,odi,TRUE,1642,25,1192,273.4
42632,test,TRUE,2576,97,1175,429.2
42634,odi,FALSE,NA,NA,NA,NA
42634,test,TRUE,6,0,9,1.0
42636,odi,FALSE,NA,NA,NA,NA
42636,test,TRUE,6,0,1,1.0
42637,test,TRUE,36,1,9,6.0
42639,odi,TRUE,17670,76,13632,2945.0
42639,test,TRUE,3194,69,1709,532.2
42641,odi,FALSE,NA,NA,NA,NA
42643,test,FALSE,NA,NA,NA,NA
42644,odi,TRUE,540,8,382,90.0
42644,test,TRUE,294,12,131,49.0
42645,test,TRUE,36,1,23,6.0
42646,odi,TRUE,810,6,649,135.0
42646,test,TRUE,2234,71,1272,372.2
42647,odi,TRUE,222,1,159,37.0
42647,test,TRUE,90,0,43,15.0
42648,odi,FALSE,NA,NA,NA,NA
42648,test,FALSE,NA,NA,NA,NA
42650,test,TRUE,325,12,139,54.1
42652,odi,TRUE,54,0,50,9.0
42655,odi,TRUE,7764,99,6169,1294.0
42655,test,TRUE,8143,237,4574,1357.1
42657,odi,TRUE,7958,38,6192,1326.2
42657,test,TRUE,2712,61,1519,452.0
42658,odi,TRUE,919,2,725,153.1
42658,test,TRUE,396,16,170,66.0
42660,test,TRUE,2313,121,801,385.3
42661,odi,TRUE,1265,16,860,210.5
42661,test,TRUE,4496,147,2412,749.2
42664,odi,TRUE,6,0,4,1.0
42673,test,FALSE,NA,NA,NA,NA
42683,odi,TRUE,69,0,90,11.3
42683,test,TRUE,137,1,106,22.5
42699,odi,TRUE,6000,50,4182,1000.0
42699,test,TRUE,11592,386,5003,1932.0
427178,odi,FALSE,NA,NA,NA,NA
427178,test,TRUE,18,0,12,3.0
42746,odi,TRUE,60,0,57,10.0
428366,odi,TRUE,144,0,172,24.0
42879,odi,TRUE,1900,18,1382,316.4
42879,test,TRUE,2531,93,1139,421.5
429738,odi,TRUE,1488,3,1539,248.0
429738,test,TRUE,2063,37,1276,343.5
429748,odi,TRUE,423,1,377,70.3
429754,odi,FALSE,NA,NA,NA,NA
429754,test,FALSE,NA,NA,NA,NA
429981,odi,TRUE,3109,31,2549,518.1
429981,test,TRUE,712,15,389,118.4
430105,odi,TRUE,102,0,67,17.0
430246,odi,TRUE,3739,14,3283,623.1
43041,odi,TRUE,60,0,63,10.0
43121,odi,TRUE,117,0,134,19.3
431901,odi,FALSE,NA,NA,NA,NA
431902,odi,TRUE,597,1,622,99.3
431905,odi,FALSE,NA,NA,NA,NA
431905,test,FALSE,NA,NA,NA,NA
431909,odi,TRUE,18,0,16,3.0
431909,test,TRUE,454,12,264,75.4
432214,test,TRUE,4546,115,2302,757.4
43235,odi,TRUE,120,0,115,20.0
43265,odi,TRUE,2949,24,2566,491.3
43265,test,TRUE,504,15,316,84.0
43266,odi,TRUE,54,0,42,9.0
43271,odi,TRUE,1596,15,1240,266.0
43271,test,TRUE,2800,108,1398,466.4
43273,test,TRUE,18,1,7,3.0
43274,odi,TRUE,66,0,72,11.0
43275,odi,FALSE,NA,NA,NA,NA
43275,test,TRUE,30,0,28,5.0
43277,odi,TRUE,3250,32,2247,541.4
43277,test,TRUE,7778,359,2950,1296.2
432960,test,TRUE,3134,104,1504,522.2
43307,odi,TRUE,60,0,83,10.0
43307,test,TRUE,707,20,453,117.5
433614,odi,TRUE,216,0,220,36.0
433614,test,TRUE,471,4,505,78.3
43363,odi,TRUE,72,0,85,12.0
43363,test,TRUE,78,2,44,13.0
43409,test,TRUE,156,11,68,26.0
434429,odi,TRUE,156,1,154,26.0
434813,test,FALSE,NA,NA,NA,NA
43515,odi,TRUE,12,0,9,2.0
43524,odi,TRUE,6064,68,5253,1010.4
43524,test,TRUE,9599,256,5553,1599.5
43539,odi,TRUE,55,0,69,9.1
43539,test,TRUE,18,2,8,3.0
43541,test,TRUE,6,0,10,1.0
43543,odi,TRUE,12698,143,9919,2116.2
43543,test,TRUE,16224,516,8788,2704.0
43547,odi,TRUE,18186,237,11812,3031.0
43547,test,TRUE,22627,871,9779,3771.1
43549,odi,FALSE,NA,NA,NA,NA
43549,test,TRUE,6,0,2,1.0
43550,odi,TRUE,114,1,79,19.0
43553,odi,TRUE,1020,10,687,170.0
43553,test,TRUE,3860,134,1826,643.2
43557,test,TRUE,24,0,15,4.0
43590,odi,TRUE,4327,20,4117,721.1
43590,test,TRUE,5018,118,2864,836.2
43648,odi,FALSE,NA,NA,NA,NA
43648,test,TRUE,6,0,6,1.0
43650,odi,TRUE,2,0,1,0.2
43650,test,TRUE,6,0,3,1.0
43652,odi,TRUE,284,1,288,47.2
43652,test,TRUE,804,18,491,134.0
43654,odi,TRUE,414,2,373,69.0
43654,test,TRUE,627,12,438,104.3
43656,odi,TRUE,18,0,26,3.0
43656,test,TRUE,78,1,72,13.0
436677,odi,TRUE,582,1,594,97.0
436677,test,TRUE,508,3,336,84.4
43670,test,TRUE,120,5,55,20.0
436749,odi,TRUE,1309,9,1247,218.1
436757,odi,TRUE,30,0,33,5.0
436757,test,FALSE,NA,NA,NA,NA
43685,odi,TRUE,1293,4,1150,215.3
43685,test,TRUE,14255,359,7657,2375.5
43692,odi,TRUE,198,2,137,33.0
43695,odi,TRUE,280,2,223,46.4
43695,test,TRUE,368,9,132,61.2
43696,odi,TRUE,96,1,61,16.0
43697,odi,FALSE,NA,NA,NA,NA
43697,test,FALSE,NA,NA,NA,NA
437005,odi,FALSE,NA,NA,NA,NA
43701,odi,FALSE,NA,NA,NA,NA
43701,test,FALSE,NA,NA,NA,NA
43703,odi,TRUE,646,4,494,107.4
43703,test,TRUE,444,13,259,74.0
43706,test,TRUE,1285,78,366,214.1
43707,odi,FALSE,NA,NA,NA,NA
43707,test,FALSE,NA,NA,NA,NA
43726,odi,TRUE,120,1,94,20.0
437316,odi,TRUE,1056,3,999,176.0
437316,test,TRUE,762,19,431,127.0
43735,odi,TRUE,120,1,98,20.0
437438,odi,TRUE,120,0,119,20.0
437438,test,TRUE,328,5,178,54.4
43751,odi,FALSE,NA,NA,NA,NA
43776,odi,TRUE,120,0,116,20.0
437927,odi,FALSE,NA,NA,NA,NA
438563,odi,FALSE,NA,NA,NA,NA
