unique_player_id,format,HasBattingDetail,DetailBallsFaced,DetailFours,DetailSixes
12848,test,TRUE,27,4,0
12850,odi,TRUE,137,11,3
12854,odi,TRUE,1134,64,6
12854,test,TRUE,7504,355,6
12856,odi,TRUE,3821,308,93
12856,test,TRUE,6197,513,82
12860,test,TRUE,11,13,0
12866,test,TRUE,0,7,2
1287033,odi,TRUE,7,0,0
1287093,odi,TRUE,10,1,0
12875,test,TRUE,424,24,1
12877,odi,TRUE,71,0,0
12877,test,TRUE,654,27,1
12879,odi,TRUE,244,9,0
12879,test,TRUE,1223,54,4
12881,test,TRUE,0,61,1
12883,test,TRUE,5,3,1
12884,odi,TRUE,1321,67,1
12884,test,TRUE,3362,145,3
1290587,odi,TRUE,83,4,0
12906,odi,TRUE,17,0,0
12909,odi,TRUE,208,15,2
12909,test,TRUE,1356,33,2
1290929,odi,TRUE,47,7,0
12918,test,TRUE,214,10,0
12923,odi,TRUE,71,1,0
12923,test,TRUE,797,37,1
12930,test,TRUE,1,45,0
1294031,odi,TRUE,20,0,0
1294141,odi,TRUE,858,78,13
1294144,odi,TRUE,309,13,4
1294146,odi,TRUE,5,0,0
1294342,odi,TRUE,8,0,0
1294342,test,TRUE,28,0,2
1295879,odi,TRUE,12,2,0
1295901,test,TRUE,16,1,0
1295902,odi,TRUE,192,16,1
1306214,odi,TRUE,55,2,0
1310415,odi,TRUE,29,0,0
1312645,odi,TRUE,102,10,6
1312645,test,TRUE,20,1,0
1323683,odi,TRUE,445,54,23
1326798,odi,TRUE,59,4,4
1326798,test,TRUE,4,0,1
1328438,odi,TRUE,13,2,0
1329697,odi,TRUE,17,1,1
1330163,test,TRUE,16,0,1
13324,test,TRUE,309,8,0
1332783,odi,TRUE,85,7,1
13340,odi,TRUE,2968,165,11
13340,test,TRUE,9764,552,11
13342,test,TRUE,0,3,0
13347,test,TRUE,580,21,0
1334872,test,TRUE,279,13,1
13357,test,TRUE,56,15,0
13362,test,TRUE,56,1,0
13365,odi,TRUE,8,0,0
13365,test,TRUE,629,16,0
13368,odi,TRUE,551,24,4
13368,test,TRUE,3064,175,5
13372,test,TRUE,170,8,1
1337258,odi,TRUE,109,8,2
13373,test,TRUE,0,0,0
13379,test,TRUE,0,11,1
13381,test,TRUE,11,1,2
13386,test,TRUE,0,0,0
1339104,odi,TRUE,44,5,0
1339105,odi,TRUE,29,0,0
1339355,test,TRUE,281,20,0
13399,odi,TRUE,6932,407,15
13399,test,TRUE,18075,1079,25
13411,odi,TRUE,947,43,5
13411,test,TRUE,1967,102,9
13414,odi,TRUE,243,5,0
13416,test,TRUE,0,0,0
13418,odi,TRUE,4218,290,22
13418,test,TRUE,16268,979,10
13420,test,TRUE,96,4,0
13422,test,TRUE,4,0,0
13424,test,TRUE,424,55,1
13434,test,TRUE,4817,425,7
13437,odi,TRUE,13,0,0
13446,test,TRUE,0,0,0
1344776,odi,TRUE,69,0,1
13451,test,TRUE,31,0,0
1345983,odi,TRUE,19,1,0
13463,odi,TRUE,378,19,3
13463,test,TRUE,7251,437,19
13464,test,TRUE,102,2,0
13468,test,TRUE,36,6,0
13476,test,TRUE,2,15,0
13489,test,TRUE,1332,85,2
13491,test,TRUE,0,8,0
13492,test,TRUE,4,9,0
1350768,odi,TRUE,5,0,0
1353033,odi,TRUE,22,1,1
1356971,odi,TRUE,36,1,2
1356971,test,TRUE,356,34,14
1360042,odi,TRUE,2,0,0
1360563,odi,TRUE,203,8,4
1364163,odi,TRUE,4,0,0
1365333,odi,TRUE,47,5,0
1381688,odi,TRUE,5,0,1
1385640,odi,TRUE,145,18,3
1385640,test,TRUE,253,18,7
1387900,odi,TRUE,28,2,1
1388460,odi,TRUE,608,40,10
1393951,test,TRUE,289,19,2
1394079,odi,FALSE,NA,NA,NA
1394079,test,TRUE,242,24,2
1394273,odi,TRUE,12,0,1
1398125,odi,TRUE,127,5,6
1398224,test,TRUE,282,20,1
13985,test,TRUE,140,4,0
13992,test,TRUE,0,6,0
13993,test,TRUE,97,6,0
14002,test,TRUE,0,1,0
14020,odi,TRUE,1847,95,11
14020,test,TRUE,9,0,0
14022,test,TRUE,7491,512,27
14024,odi,TRUE,86,7,0
14024,test,TRUE,929,55,0
1402600,odi,TRUE,169,14,0
1403089,odi,TRUE,1,0,0
14038,test,TRUE,0,2,0
14041,test,TRUE,1540,119,3
14042,test,TRUE,0,37,0
14054,odi,TRUE,141,3,0
14054,test,TRUE,1299,97,10
14077,test,TRUE,144,15,0
14081,test,TRUE,0,2,0
1409283,odi,TRUE,19,1,0
1409283,test,TRUE,127,5,1
14101,test,TRUE,0,0,0
1410354,odi,TRUE,19,2,0
14104,test,TRUE,2,7,1
14106,odi,TRUE,235,18,2
14106,test,TRUE,878,27,1
1411891,odi,TRUE,124,14,0
1411895,odi,TRUE,7,0,0
14119,test,TRUE,7,143,0
14127,odi,TRUE,49,0,0
14127,test,TRUE,671,18,0
14129,test,TRUE,0,0,0
14131,test,TRUE,0,0,0
14133,test,TRUE,3,1,2
14135,test,TRUE,1184,42,0
1414159,odi,TRUE,122,1,1
14149,test,TRUE,86,1,0
