cricinfo_id,unique_player_id,final_player_name,source_country_text,espn_profile_found,espn_full_name,espn_display_name,espn_first_name,espn_last_name,espn_date_of_birth,espn_is_active,espn_active_status,standard_batting_code,standard_batting_style,standard_bowling_code,standard_bowling_style,espn_playing_role,espn_playing_role_id,espn_country_name,espn_major_teams
51870,51870,RS Gabriel,WI,True,Richard Simeon Gabriel,Richard Gabriel,Richard,Gabriel,1952-06-05,False,inactive,RHB,Right Hand Bat,OB,Right Arm Off Break,Unknown,UKN,West Indies,West Indies|Trinidad & Tobago
28792,28792,RS Gavaskar,IND,True,Rohan Sunil Gavaskar,Rohan Gavaskar,Rohan,Gavaskar,1976-02-20,True,active,LHB,Left Hand Bat,SLA,Slow Left Arm Orthodox,Unknown,UKN,India,India|Bengal|ICL India XI|Kolkata Knight Riders|Royal Bengal Tigers
28808,28808,RS Ghai,IND,True,Rajinder Singh Ghai,Rajinder Singh Ghai,Rajinder,Ghai,1960-06-12,False,inactive,RHB,Right Hand Bat,RMF,Right Arm Medium Fast,Unknown,UKN,India,India|Punjab
51897,51897,RS Grant,WI,True,Rolph Stewart Grant,Rolph Grant,Rolph,Grant,1909-12-15,False,inactive,RHB,Right Hand Bat,OB,Right Arm Off Break,Unknown,UKN,West Indies,West Indies|Cambridge University|Trinidad & Tobago
24298,24298,RS Haire,IRE,True,Ryan Samuel Haire,Ryan Haire,Ryan,Haire,1981-05-01,True,active,LHB,Left Hand Bat,LB,Leg Break,Batter,BT,Ireland,Ireland
55518,55518,RS Higgins,ZIM,True,Ryan Shaun Higgins,Ryan Higgins,Ryan,Higgins,1988-03-24,True,active,RHB,Right Hand Bat,LB,Leg Break,Middle-order batter,MBT,Zimbabwe,Zimbabwe|Manicaland
49356,49356,RS Kalpage,SL,True,Ruwan Senani Kalpage,Ruwan Kalpage,Ruwan,Kalpage,1970-02-19,True,active,LHB,Left Hand Bat,OB,Right Arm Off Break,Batting allrounder,BTA,Sri Lanka,Sri Lanka|Bloomfield Cricket and Athletic Club|Nondescripts Cricket Club|Tamil Union Cricket and Athletic Club
49361,49361,RS Kaluwitharana,SL,True,Romesh Shantha Kaluwitharana,Romesh Kaluwitharana,Romesh,Kaluwitharana,1969-11-24,False,inactive,RHB,Right Hand Bat,,,Wicketkeeper batter,WBT,Sri Lanka,Sri Lanka|Colts Cricket Club|Galle Cricket Club|Sebastianites Cricket and Athletic Club
49623,49623,RS Madugalle,SL,True,Ranjan Senerath Madugalle,Ranjan Madugalle,Ranjan,Madugalle,1959-04-22,False,inactive,RHB,Right Hand Bat,OB,Right Arm Off Break,Middle-order batter,MBT,Sri Lanka,Sri Lanka|Nondescripts Cricket Club
49626,49626,RS Mahanama,SL,True,Roshan Siriwardene Mahanama,Roshan Mahanama,Roshan,Mahanama,1966-05-31,False,inactive,RHB,Right Hand Bat,,,Batter,BT,Sri Lanka,Sri Lanka|Bloomfield Cricket and Athletic Club|Colombo Cricket Club
