cricinfo_id,unique_player_id,final_player_name,source_country_text,Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,format
1411895,1411895,Omid Shafi Rahman,UAE,Omid Shafi Rahman (UAE),2024-2024,2,2,0,0,0,0,0,0,0,odi
38064,38064,DR O'Sullivan,NZ,DR O'Sullivan (NZ),1974-1976,3,3,0,0,0,0,0,0,0,odi
1213979,1213979,MJ Owen,AUS,MJ Owen (AUS),2025-2025,3,3,0,0,0,0,0,0,0,odi
38066,38066,MB Owens,NZ,MB Owens (NZ),1992-1992,1,1,0,0,0,0,0,0,0,odi
299812,299812,M Panchal,NED,M Panchal (NED),2007-2007,1,1,0,0,0,0,0,0,0,odi
32168,32168,GK Pandey,IND,GK Pandey (IND),1999-1999,2,2,0,0,0,0,0,0,0,odi
1079434,1079434,R Parag,IND,R Parag (IND),2024-2024,1,1,0,0,0,0,0,0,0,odi
52687,52687,BA Parchment,WI,BA Parchment (WI),2007-2008,7,7,0,0,0,0,0,0,0,odi
215058,215058,SD Parry,ENG,SD Parry (ENG),2014-2014,2,2,0,0,0,0,0,0,0,odi
378496,378496,Parvez Rasool,IND,Parvez Rasool (IND),2014-2014,1,1,0,0,0,0,0,0,0,odi
230552,230552,NT Pascal,WI,NT Pascal (WI),2009-2009,1,1,0,0,0,0,0,0,0,odi
49852,49852,SP Pasqual,SL,SP Pasqual (SL),1979-1979,2,2,0,0,0,0,0,0,0,odi
23770,23770,A Patel,CAN,A Patel (CAN),2003-2003,2,2,0,0,0,0,0,0,0,odi
23782,23782,JM Patel,CAN,JM Patel (CAN),1979-1979,3,3,0,0,0,0,0,0,0,odi
24789,24789,KA Patel,KENYA,KA Patel (KENYA),2006-2006,2,2,0,0,0,0,0,0,0,odi
24784,24784,ML Patel,KENYA,ML Patel (KENYA),2004-2006,3,3,0,0,0,0,0,0,0,odi
32249,32249,RGM Patel,IND,RGM Patel (IND),1988-1988,1,1,0,0,0,0,0,0,0,odi
521478,521478,R Pathan,CAN,R Pathan (CAN),2013-2013,1,1,0,0,0,0,0,0,0,odi
823703,823703,RM Patidar,IND,RM Patidar (IND),2023-2023,1,1,0,0,0,0,0,0,0,odi
25105,25105,BMW Patterson,SCOT,BMW Patterson (SCOT),1999-1999,3,3,0,0,0,0,0,0,0,odi
362710,362710,DA Payne,ENG,DA Payne (ENG),2022-2022,1,1,0,0,0,0,0,0,0,odi
