team_id,team_name,team_display_name,team_short_display_name,team_abbreviation,team_slug
1160567,Balkh Legends,Balkh Legends,BL,BL,balkh-legends
801,Balochistan,Balochistan,BALO,BALO,balochistan
381940,Baluchistan Bears,Baluchistan Bears,BBrs,BBrs,baluchistan-bears
814373,Baluchistan Warriors,Baluchistan Warriors,BaluW,BaluW,baluchistan-warriors
776159,Band-e-Amir Dragons,Band-e-Amir Dragons,BEAD,BEAD,band-e-amir-dragons
789641,Band-e-Amir Region,Band-e-Amir Region,BEAR,BEAR,band-e-amir-region
49536,Bandaranayake College Gampha,Bandaranayake College Gampha,,,bandaranayake-college-gampha
424048,Bangalore Brigadiers (Urban),Bangalore Brigadiers (Urban),,,bangalore-brigadiers-urban
1204576,Bangla Tigers,Bangla Tigers,BAT,BAT,bangla-tigers
1387247,Bangla Tigers Mississauga,Bangla Tigers Mississauga,BTM,BTM,bangla-tigers-mississauga
25,Bangladesh,Bangladesh,BAN,BAN,bangladesh
668,Bangladesh A,Bangladesh A,BAN-A,BAN-A,bangladesh-a
271443,Bangladesh Cricket Board Academy,Bangladesh Cricket Board Academy,BCBA,BCBA,bangladesh-cricket-board-academy
410536,Bangladesh Cricket Board Green,Bangladesh Cricket Board Green,BCB-G,BCB-G,bangladesh-cricket-board-green
410537,Bangladesh Cricket Board Red,Bangladesh Cricket Board Red,BCB-R,BCB-R,bangladesh-cricket-board-red
927307,Bangladesh Cricket Board Under-17s,Bangladesh Cricket Board Under-17s,BCB17,BCB17,bangladesh-cricket-board-under-17s
666,Bangladesh Cricket Board XI,Bangladesh Cricket Board XI,BCBXI,BCBXI,bangladesh-cricket-board-xi
1168173,Bangladesh Emerging Team,Bangladesh Emerging Team,BAN-E,BAN-E,bangladesh-emerging-team
430678,Bangladesh Krira Shikkha Protisthan,Bangladesh Krira Shikkha Protisthan,BKSP,BKSP,bangladesh-krira-shikkha-protisthan
1253484,Bangladesh Legends,Bangladesh Legends,BAN-L,BAN-L,bangladesh-legends
670,Bangladesh Under-15s,Bangladesh Under-15s,,,bangladesh-under-15s
671,Bangladesh Under-17s,Bangladesh Under-17s,BAN17,BAN17,bangladesh-under-17s
672,Bangladesh Under-19s,Bangladesh Under-19s,BAN19,BAN19,bangladesh-under-19s
446786,Bangladesh Under-21s,Bangladesh Under-21s,BD21,BD21,bangladesh-under-21s
673,Bangladesh Under-23s,Bangladesh Under-23s,BD23,BD23,bangladesh-under-23s
568133,Bangladesh XI,Bangladesh XI,BanXI,BanXI,bangladesh-xi
3719,Barbados,Barbados,BDOS,BDOS,barbados
642411,Barbados Royals,Barbados Royals,BR,BR,barbados-royals
951505,Barbados Under-15s,Barbados Under-15s,Bdo15,Bdo15,barbados-under-15s
3723,Barbados Under-19s,Barbados Under-19s,Bdo19,Bdo19,barbados-under-19s
942835,Barisal Bulls,Barisal Bulls,BB,BB,barisal-bulls
549983,Barisal Burners,Barisal Burners,Burnr,Burnr,barisal-burners
662,Barishal Division,Barishal Division,BAR,BAR,barishal-division
1559,Baroda,Baroda,BRODA,BRODA,baroda
1564,Baroda Cricket Association XI,Baroda Cricket Association XI,BDAXI,BDAXI,baroda-cricket-association-xi
471343,Baroda Under-15s,Baroda Under-15s,,,baroda-under-15s
471344,Baroda Under-17s,Baroda Under-17s,,,baroda-under-17s
1562,Baroda Under-19s,Baroda Under-19s,Bar19,Bar19,baroda-under-19s
495222,Basnahira,Basnahira,BASNA,BASNA,basnahira
514777,Basnahira Cricket Dundee,Basnahira Cricket Dundee,BDund,BDund,basnahira-cricket-dundee
659493,Basnahira Greens,Basnahira Greens,BasGr,BasGr,basnahira-greens
325784,Basnahira North,Basnahira North,BAS-N,BAS-N,basnahira-north
325785,Basnahira South,Basnahira South,BAS-S,BAS-S,basnahira-south
813,Bedfordshire,Bedfordshire,Beds,Beds,bedfordshire
424066,Belagavi Panthers,Belagavi Panthers,BGAVI,BGAVI,belagavi-panthers
42,Belgium,Belgium,BEL,BEL,belgium
303810,Belgium Under-17s,Belgium Under-17s,,,belgium-under-17s
303451,Belgium Under-19s,Belgium Under-19s,BEL19,BEL19,belgium-under-19s
180,Belgrano Athletic Club,Belgrano Athletic Club,,,belgrano-athletic-club
64,Belize,Belize,Blz,Blz,belize
777393,Bellary Tuskers,Bellary Tuskers,BLARY,BLARY,bellary-tuskers
1572,Bengal,Bengal,BENG,BENG,bengal
1621,Bengal Cricket Association XI,Bengal Cricket Association XI,CABXI,CABXI,bengal-cricket-association-xi
1581,Bengal Under-19s,Bengal Under-19s,Ben19,Ben19,bengal-under-19s
1118113,Bengaluru Blasters,Bengaluru Blasters,BEB,BEB,bengaluru-blasters
3727,Berbice,Berbice,,,berbice
814,Berkshire,Berkshire,Berks,Berks,berkshire
12,Bermuda,Bermuda,BER,BER,bermuda
363803,Bermuda Development XI,Bermuda Development XI,BmDev,BmDev,bermuda-development-xi
733,Bermuda Under-15s,Bermuda Under-15s,BmU15,BmU15,bermuda-under-15s
734,Bermuda Under-19s,Bermuda Under-19s,BER19,BER19,bermuda-under-19s
1239235,Beximco Dhaka,Beximco Dhaka,DHAKA,DHAKA,beximco-dhaka
1129782,Bhairahawa Gladiators,Bhairahawa Gladiators,BG,BG,bhairahawa-gladiators
422082,Bharat Petroleum Corporation Limited,Bharat Petroleum Corporation Limited,,,bharat-petroleum-corporation-limited
1334538,Bhilwara Kings,Bhilwara Kings,BK,BK,bhilwara-kings
61,Bhutan,Bhutan,BHU,BHU,bhutan
387030,Bhutan Under-15s,Bhutan Under-15s,,,bhutan-under-15s
387028,Bhutan Under-17s,Bhutan Under-17s,,,bhutan-under-17s
385278,Bhutan Under-19s,Bhutan Under-19s,BHU19,BHU19,bhutan-under-19s
1585,Bihar,Bihar,BIHAR,BIHAR,bihar
